ONNX Operator Name,Map Description & Graph Fusion Description,HBIR Operator Name,BPU Support Constraints
GlobalMaxPool,"//opset9
def emit_mlir_op(self, adaptor: NodeAdaptor, y: mlir.Type, x: mlir.Value):
    # do not use transpose, transpose dims directly
    input_shape = adaptor.operands[0].type.shape
    input_rank = len(input_shape)
    if input_rank < 3:
        raise ValueError(""input size can not be less than 3"")
    dims = []
    for i in range(input_rank - 2):
        dims.append(-(i + 1))
    return hbir.reduce_max(x, dims=dims, keepDim=True, output_type=y)","hbir.reduce_max
","{'hbir.reduce_max': {'input': ['{Type: int8, int16}\n{Shape: [*]}\n{Dim: reduce axis dim size ∈ [1, 65535]}\n{Element : reduce Elements size ∈ [1, 65535]}'], 'output': ""{Same as input, ReduceArgMax/ReduceArgMin's output can be of type int32 or int64, as long as the size of the reduced axis can be represented using an int16 number}""}}"
Greater,"//opset9
def emit_mlir_op(
    self, adaptor: NodeAdaptor, y: mlir.Type, lhs: mlir.Value, rhs: mlir.Value
):
    return hbir.greater(lhs, rhs, output_type=y)","hbir.greater
","{'hbir.greater': {'lhs': ['{Type: int8, int16}\n{Shape: [*]}'], 'rhs': ['{Same as lhs}'], 'output': ['{Type: bool8}']}}"
Identity,"//opset9
def emit_mlir_op(self, adaptor: NodeAdaptor, y: mlir.Type, x: mlir.Value):
    return hbir.identity(x)","hbir.identity
",{'hbir.identity': 'Unsupported'}
InstanceNormalization,"//opset9
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    x: mlir.Value,
    scale: mlir.Value,
    bias: mlir.Value,
    *,
    epsilon=1e-05,
):
    input_shape = adaptor.operands[0].type.shape
    dim = list(range(1, len(input_shape) - 1))
    x = nchw_to_nhwc(x)
    x = hbir.layernorm(x, dims=dim, eps=epsilon)
    x = hbir.mul(x, scale)
    x = hbir.add(x, bias)
    x = nhwc_to_nchw(x)
    return x","hbir.layernorm
hbir.mul
hbir.add
","{'hbir.layernorm': 'Unsupported', 'hbir.mul': {'lhs': ['{Type: int8, int16}\n{Shape: [*]}'], 'rhs': ['{Same as lhs}'], 'output': ['{Same as lhs}']}, 'hbir.add': {'lhs': ['{Type: int8, int16, int32, if type is int32, this hbir.add op must be fusible to a Conv op}\n{Shape: [*]}'], 'rhs': ['{Same as lhs}'], 'output': ['{Same as lhs}']}}"
LeakyReLu,"//opset9
def emit_mlir_op(
    self, adaptor: NodeAdaptor, y: mlir.Type, x: mlir.Value, *, alpha: float = 0.01
):
    return hbir.leaky_relu(x, slop=alpha, output_type=y)","hbir.leaky_relu
","{'hbir.leaky_relu': {'input': ['{Type: int8, int16}\n{Shape: [*]}'], 'output': ['{Same as input}']}}"
Less,"//opset9
def emit_mlir_op(
    self, adaptor: NodeAdaptor, y: mlir.Type, lhs: mlir.Value, rhs: mlir.Value
):
    return hbir.less(lhs, rhs, output_type=y)","hbir.less
","{'hbir.less': {'lhs': ['{Type: int8, int16}\n{Shape: [*]}'], 'rhs': ['{Same as lhs}'], 'output': ['{Type: bool8}']}}"
LogSoftmax,"//opset9
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    data: mlir.Value,
    *,
    axis=-1,
):
    return hbir.log_softmax(data, dim=axis, output_type=y)","hbir.log_softmax
",{'hbir.log_softmax': 'Unsupported'}
MatMul,"//opset9
def emit_mlir_op(
    self, adaptor: NodeAdaptor, output_type: mlir.Type, a: mlir.Value, b: mlir.Value
):
    lhs_shape = np.array(adaptor.operands[0].type.shape)
    rhs_shape = np.array(adaptor.operands[0].type.shape)
    lhs_rank = len(lhs_shape)
    rhs_rank = len(rhs_shape)
    if lhs_rank == 1 and rhs_rank == 1:
        # the output of 1D matmul is a scalar, the out_shape is none, so add reshape
        out_shape = adaptor.results[0].type.shape
        return hbir.reshape(hbir.matmul(a, b), out_shape, output_type=output_type)
    else:
        return hbir.matmul(a, b, output_type=output_type)","hbir.reshape
hbir.matmul
hbir.matmul
","{'hbir.reshape': {'input': ['{No limits}'], 'output': ['{Same as input}']}, 'hbir.matmul': {'lhs': ['{Type: int8, int16; lhs and rhs cannot both be int16}\n{Shape: [*,M,C]}\n{Dim: * ∈ [1, 4096], M,C ∈ [1, 8192]}'], 'rhs': ['{Type: int8, int16; lhs and rhs cannot both be int16}\n{Shape: [*,C,N]}\n{Dim: * ∈ [1, 4096]; C,N ∈ [1, 8192]}'], 'output': ['{Type: int8, int16, int32}\n{Shape: [*,M,N]}\n{Other constraints: Same as lhs}']}}"
Max,"//opset9
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    lhs: mlir.Value,
    rhs: mlir.Value,
    *args,
):
    if len(args) != 0:
        raise ValueError(f""Operator Max expects 2 inputs, but got {len(args)+2}"")
    return hbir.max(lhs, rhs, output_type=y)","hbir.max
","{'hbir.max': {'lhs': ['{Type: int8, int16}\n{Shape: [*]}'], 'rhs': ['{Same as lhs}'], 'output': ['{Same as lhs}']}}"
MaxPool,"//opset9
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    x: mlir.Value,
    *,
    auto_pad=""NOTSET"",
    ceil_mode=0,
    dilations=[1],
    kernel_shape,
    pads=[0, 0],
    storage_order=0,
    strides=[1],
):
    # auto_pad is a DEPRECATED attribute, so it is ignored here.
    # onnx maxpool supports a second output, and it is the index of the first output. storage_order is used to control whether it is row-major order or column-major order. Since second output is not supported, so attribute storage_order is ignored here.
    assert len(adaptor.results) == 1
    kernel_dim = len(kernel_shape)
    if kernel_dim < 1 or kernel_dim > 3:
        raise ValueError(
            f""Operator MaxPool does not support kernel_dim {kernel_dim}""
        )
    if kernel_dim == 1:
        x = hbir.transpose(x, [0, 2, 1])
    elif kernel_dim == 2:
        x = hbir.transpose(x, [0, 2, 3, 1])
        if dilations == [1]:
            dilations = dilations * kernel_dim
        if strides == [1]:
            strides = strides * kernel_dim
        if pads == [0, 0]:
            pads = pads * kernel_dim
    elif kernel_dim == 3:
        x = hbir.transpose(x, [0, 2, 3, 4, 1])
        if dilations == [1]:
            dilations = dilations * kernel_dim
        if strides == [1]:
            strides = strides * kernel_dim
        if pads == [0, 0]:
            pads = pads * kernel_dim
    x = hbir.max_pool(
        x,
        kernel=kernel_shape,
        stride=strides,
        pad=pads,
        dilation=dilations,
        ceilMode=bool(ceil_mode),
    )
    if kernel_dim == 1:
        return hbir.transpose(x, [0, 2, 1], output_type=y)
    elif kernel_dim == 3:
        return hbir.transpose(x, [0, 4, 1, 2, 3], output_type=y)
    return hbir.transpose(x, [0, 3, 1, 2], output_type=y)","hbir.transpose
hbir.transpose
hbir.transpose
hbir.max_pool
hbir.transpose
hbir.transpose
hbir.transpose
","{'hbir.transpose': {'input': ['{No limits}'], 'output': ['{Same as input}']}, 'hbir.max_pool': {'input': ['{Type: int8, int16}\n{Shape: [*,H,W,C] or [*,L,C]}'], 'output': ['{Same as input}'], 'kernel': ['{Shape: [KH,KW] or [KL]}\n{Dim: KH, KW, KL ∈ [1, 256], avgPool: KH*KW*bitWidth/8 &lt;= 24576, maxPool: KH*KW &lt;= 32768}'], 'stride': ['{Shape: [SH,SW] or [SL]}\n{Dim: SH, SW, SL ∈ [1, 256]}'], 'pad': ['{Shape: [PH_BEGIN,PW_BEGIN,PH_END,PW_END] or [PL_BEGIN,PL_END]}\n{PH_BEGIN,PW_BEGIN,PL_BEGIN,PH_END,PW_END,PL_END ∈ [-255, 256]}']}}"
Min,"//opset9
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    lhs: mlir.Value,
    rhs: mlir.Value,
    *args,
):
    if len(args) != 0:
        raise ValueError(f""Operator Min expects 2 inputs, but got {len(args)+2}"")
    return hbir.min(lhs, rhs, output_type=y)","hbir.min
","{'hbir.min': {'lhs': ['{Type: int8, int16}\n{Shape: [*]}'], 'rhs': ['{Same as lhs}'], 'output': ['{Same as lhs}']}}"
Mul,"//opset9
def emit_mlir_op(
    self, adaptor: NodeAdaptor, y: mlir.Type, lhs: mlir.Value, rhs: mlir.Value
):
    return hbir.mul(lhs, rhs, output_type=y)","hbir.mul
","{'hbir.mul': {'lhs': ['{Type: int8, int16}\n{Shape: [*]}'], 'rhs': ['{Same as lhs}'], 'output': ['{Same as lhs}']}}"
Neg,"//opset9
def emit_mlir_op(self, adaptor: NodeAdaptor, y: mlir.Type, x: mlir.Value):
    return hbir.neg(x)
//opset11
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    x: mlir.Value,
):
    return hbir.neg(x, output_type=y)","hbir.neg
","{'hbir.neg': {'input': ['{Type: int8, int16}\n{Shape: [*]}'], 'output': ['{Same as input}']}}"
NonZero,"//opset9
def emit_mlir_op(self, adaptor: NodeAdaptor, y: mlir.Type, x: mlir.Value):
    return hbir.nonzero(x)","hbir.nonzero
",{'hbir.nonzero': 'Unsupported'}
Or,"//opset9
def emit_mlir_op(
    self, adaptor: NodeAdaptor, y: mlir.Type, lhs: mlir.Value, rhs: mlir.Value
):
    # lhs = adaptor.operands[0].value.astype(np.int8)
    # rhs = adaptor.operands[1].value.astype(np.int8)
    return hbir.logical_or(lhs, rhs, output_type=y)","hbir.logical_or
","{'hbir.logical_or': {'lhs': ['{Type: int8, int16, bool8}\n{Shape: [*]}'], 'rhs': ['{Same as lhs}'], 'output': ['{Type: bool8}']}}"
PRelu,"//opset9
def emit_mlir_op(
    self, adaptor: NodeAdaptor, y: mlir.Type, data: mlir.Value, slope: mlir.Value
):
    return hbir.prelu(data, slope=slope, output_type=y)","hbir.prelu
","{'hbir.prelu': {'lhs': ['{Type: int8, int16}\n{Shape: [*]}'], 'rhs': ['{Same as lhs}'], 'output': ['{Same as lhs}']}}"
Pad,"//opset9
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    x: mlir.Value,
    *,
    pads,
    mode=""constant"",
    value=0.0,
):
    pad_length = len(pads)
    if mlir.IntegerType.isinstance(y.element_type):
        value = int(value)
    else:
        value = float(value)
    return hbir.pad(
        x,
        begin=pads[: pad_length // 2],
        end=pads[pad_length // 2 :],
        padValue=value,
        output_type=y,
    )
//opset11
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    x: mlir.Value,
    pads: mlir.Value,
    value: mlir.Value = None,
    *,
    mode=""constant"",
):
    pads = adaptor.operands[1].value
    value = 0
    if len(adaptor.operands) == 3:
        value = adaptor.operands[2].value
    pad_length = len(pads)
    if not mlir.IntegerType.isinstance(y.element_type):
        value = float(value)
    else:
        value = int(value)
    return hbir.pad(
        x,
        begin=pads[: pad_length // 2],
        end=pads[pad_length // 2 :],
        padValue=value,
        output_type=y,
    )","hbir.pad
","{'hbir.pad': {'input': ""{Type: int64, uint64 and f64 are not supported when expansionMode is 'constant' else no constraints}\n{Dim: all dims &lt; 737280 when expansionMode is not 'constant' else no constraints}"", 'output': ['{Same as input}'], 'begin/end': ['{Value should be in range [1, 1024]}']}}"
Pow,"//opset9
def emit_mlir_op(
    self, adaptor: NodeAdaptor, y: mlir.Type, lhs: mlir.Value, rhs: mlir.Value
):
    return hbir.pow(lhs, rhs, output_type=y)","hbir.pow
",{'hbir.pow': 'Unsupported'}
Reciprocal,"//opset9
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    x: mlir.Value,
):
    return hbir.reciprocal(
        x,
        output_type=y,
    )","hbir.reciprocal
","{'hbir.reciprocal': {'input': ['{Type: int8, int16}\n{Shape: [*]}'], 'output': ['{Same as input}']}}"
ReduceMax,"//opset9
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    x: mlir.Value,
    *,
    axes=None,
    keepdims=1,
):
    if axes is None:
        axes = list(range(mlir.ShapedType(x.type).rank))
    return hbir.reduce_max(
        x,
        dims=axes,
        keepDim=bool(keepdims),
        output_type=y,
    )
//opset18
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    x: mlir.Value,
    *args,
    keepdims=1,
    noop_with_empty_axes=0,
):
    axes = None
    if len(args) != 0:
        axes = adaptor.operands[1].value.tolist()

    if axes is None:
        axes = []
        if noop_with_empty_axes == 0:
            # Reduce all axes
            axes = list(range(mlir.ShapedType(x.type).rank))
        else:
            # act like identity operands, here convert to reshape
            return hbir.reshape(x, adaptor.operands[0].type.shape)

    return self.mlir_op_func(x, dims=axes, keepDim=bool(keepdims), output_type=y)","hbir.reduce_max
hbir.reshape
","{'hbir.reduce_max': {'input': ['{Type: int8, int16}\n{Shape: [*]}\n{Dim: reduce axis dim size ∈ [1, 65535]}\n{Element : reduce Elements size ∈ [1, 65535]}'], 'output': ""{Same as input, ReduceArgMax/ReduceArgMin's output can be of type int32 or int64, as long as the size of the reduced axis can be represented using an int16 number}""}, 'hbir.reshape': {'input': ['{No limits}'], 'output': ['{Same as input}']}}"
ReduceMean,"//opset9
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    x: mlir.Value,
    *,
    axes=None,
    keepdims=1,
):
    if axes is None:
        axes = list(range(mlir.ShapedType(x.type).rank))
    return hbir.reduce_mean(x, dims=axes, keepDim=bool(keepdims), output_type=y)
//opset18
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    x: mlir.Value,
    *args,
    keepdims=1,
    noop_with_empty_axes=0,
):
    axes = None
    if len(args) != 0:
        axes = adaptor.operands[1].value.tolist()

    if axes is None:
        axes = []
        if noop_with_empty_axes == 0:
            # Reduce all axes
            axes = list(range(mlir.ShapedType(x.type).rank))
        else:
            # act like identity operands, here convert to reshape
            return hbir.reshape(x, adaptor.operands[0].type.shape)

    return self.mlir_op_func(x, dims=axes, keepDim=bool(keepdims), output_type=y)","hbir.reduce_mean
hbir.reshape
","{'hbir.reduce_mean': {'input': ['{Type: int8, int16}\n{Shape: [*]}\n{Dim: reduce axis dim size ∈ [1, 65535]}\n{Element : reduce Elements size ∈ [1, 65535]}'], 'output': ""{Same as input, ReduceArgMax/ReduceArgMin's output can be of type int32 or int64, as long as the size of the reduced axis can be represented using an int16 number}""}, 'hbir.reshape': {'input': ['{No limits}'], 'output': ['{Same as input}']}}"
ReduceMin,"//opset9
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    x: mlir.Value,
    *,
    axes=None,
    keepdims=1,
):
    if axes is None:
        axes = list(range(mlir.ShapedType(x.type).rank))
    return hbir.reduce_min(
        x,
        dims=axes,
        keepDim=bool(keepdims),
        output_type=y,
    )
//opset18
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    x: mlir.Value,
    *args,
    keepdims=1,
    noop_with_empty_axes=0,
):
    axes = None
    if len(args) != 0:
        axes = adaptor.operands[1].value.tolist()

    if axes is None:
        axes = []
        if noop_with_empty_axes == 0:
            # Reduce all axes
            axes = list(range(mlir.ShapedType(x.type).rank))
        else:
            # act like identity operands, here convert to reshape
            return hbir.reshape(x, adaptor.operands[0].type.shape)

    return self.mlir_op_func(x, dims=axes, keepDim=bool(keepdims), output_type=y)","hbir.reduce_min
hbir.reshape
","{'hbir.reduce_min': {'input': ['{Type: int8, int16}\n{Shape: [*]}\n{Dim: reduce axis dim size ∈ [1, 65535]}\n{Element : reduce Elements size ∈ [1, 65535]}'], 'output': ""{Same as input, ReduceArgMax/ReduceArgMin's output can be of type int32 or int64, as long as the size of the reduced axis can be represented using an int16 number}""}, 'hbir.reshape': {'input': ['{No limits}'], 'output': ['{Same as input}']}}"
ReduceSum,"//opset9
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    x: mlir.Value,
    *,
    axes=None,
    keepdims=1,
):
    if axes is None:
        axes = list(range(mlir.ShapedType(x.type).rank))
    return hbir.reduce_sum(
        x,
        dims=axes,
        keepDim=bool(keepdims),
        output_type=y,
    )
//opset13
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    x: mlir.Value,
    axes=None,
    *args,
    keepdims=1,
    noop_with_empty_axes=0,
):
    axes = adaptor.operands[1].value.tolist() if axes is not None else None

    if axes is None:
        if noop_with_empty_axes == 0:
            # Reduce all axes
            axes = list(range(mlir.ShapedType(x.type).rank))
        else:
            # act like identity operands, here convert to reshape
            return hbir.reshape(x, adaptor.operands[0].type.shape)

    return hbir.reduce_sum(
        x,
        dims=axes,
        keepDim=bool(keepdims),
        output_type=y,
    )","hbir.reduce_sum
hbir.reshape
","{'hbir.reduce_sum': {'input': ['{Type: int8, int16}\n{Shape: [*]}\n{Dim: reduce axis dim size ∈ [1, 65535]}\n{Element : reduce Elements size ∈ [1, 65535]}'], 'output': ""{Same as input, ReduceArgMax/ReduceArgMin's output can be of type int32 or int64, as long as the size of the reduced axis can be represented using an int16 number}""}, 'hbir.reshape': {'input': ['{No limits}'], 'output': ['{Same as input}']}}"
Reshape,"//opset9
def emit_mlir_op(
    self, adaptor: NodeAdaptor, y: mlir.Type, x: mlir.Value, shape: mlir.Value
):
    out_shape = adaptor.results[0].type.shape
    return hbir.reshape(x, out_shape)
//opset18
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    x: mlir.Value,
    shape: mlir.Value,
    *,
    allowzero=0,
):
    input_shape = adaptor.operands[0].type.shape
    out_shape = adaptor.operands[1].value
    new_shape = np.copy(out_shape)
    if allowzero == 0:
        zeros_index = np.where(out_shape == 0)
        new_shape[zeros_index] = np.array(object=input_shape)[zeros_index]
    return hbir.reshape(x, shape=new_shape)","hbir.reshape
","{'hbir.reshape': {'input': ['{No limits}'], 'output': ['{Same as input}']}}"
Scatter (deprecated),"//opset9
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    data: mlir.Value,
    indices: mlir.Value,
    updates: mlir.Value,
    axis: int,
):
    return hbir.scatter_elements(data, indices, updates, axis, output_type=y)","hbir.scatter_elements
",{'hbir.scatter_elements': 'Unsupported'}
Slice,"//opset9
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    data: mlir.Value,
    starts: mlir.Value,
    ends: mlir.Value,
    axes: Optional[mlir.Value] = None,
    steps: Optional[mlir.Value] = None,
):
    # case0: process dynamic slice or attr do not has static value
    # 1. has dynamic tensor
    input_has_dynamic_dim = (
        has_dynamic_dim(data) or has_dynamic_dim(starts) or has_dynamic_dim(ends)
    )
    # 2. attr do not has static value
    if not isinstance(adaptor.operands[1].value, np.ndarray):
        input_has_dynamic_dim = True
    if not isinstance(adaptor.operands[2].value, np.ndarray):
        input_has_dynamic_dim = True
    if axes is not None:
        if has_dynamic_dim(axes):
            input_has_dynamic_dim = True
        if not isinstance(adaptor.operands[3].value, np.ndarray):
            input_has_dynamic_dim = True
    if steps is not None:
        if has_dynamic_dim(steps):
            input_has_dynamic_dim = True
        if not isinstance(adaptor.operands[4].value, np.ndarray):
            input_has_dynamic_dim = True

    # if has no static value
    if (adaptor.operands[0].value is None) or (adaptor.operands[1].value is None):
        input_has_dynamic_dim = True
    if input_has_dynamic_dim:
        starts_size = adaptor.operands[1].type.shape[0]
        axes = get_value_or_create_const(
            np.array([i for i in range(starts_size)]) if axes is None else axes
        )
        steps = get_value_or_create_const(
            np.ones(starts_size, dtype=np.int64) if steps is None else steps
        )
        return hbir.dynamic_slice(data, starts, ends, axes, steps)

    # case1: process normal slice, use hbir.slice
    input_shape = adaptor.operands[0].type.shape
    input_rank = len(input_shape)
    starts = adaptor.operands[1].value
    ends = adaptor.operands[2].value
    steps = (
        np.ones(input_rank, dtype=np.int64)
        if steps is None
        else (
            adaptor.operands[3].value if axes is None else adaptor.operands[4].value
        )
    )
    axes = (
        [i for i in range(input_rank)]
        if axes is None
        else adaptor.operands[3].value
    )

    assert len(starts) == len(
        ends
    ), ""Incompatible attributes starts and ends for Slice.""

    new_start = np.zeros(input_rank, dtype=np.int64)  # start from zero
    new_end = np.array(input_shape)  # end with original shape limit
    new_step = np.ones(input_rank, dtype=np.int64)  # step default 1
    if len(starts) == len(axes):
        for idx, axis in enumerate(axes):
            new_start[axis] = starts[idx]
            new_end[axis] = ends[idx]
            new_step[axis] = steps[idx]
    elif len(starts) == 1:
        for index in range(input_rank):
            if index in axes:
                new_start[index] = starts[0]
                new_end[index] = ends[0]
                new_step[index] = steps[0]
    else:
        raise ValueError(""Incompatible attributes starts and axes for Slice."")

    return hbir.slice(
        data, begin=new_start, end=new_end, step=new_step, output_type=y
    )
//opset10
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    data: mlir.Value,
    starts: mlir.Value,
    ends: mlir.Value,
    axes: Optional[mlir.Value] = None,
    steps: Optional[mlir.Value] = None,
):
    # case0: process dynamic slice or attr do not has static value
    # 1. has dynamic tensor
    input_has_dynamic_dim = (
        has_dynamic_dim(data) or has_dynamic_dim(starts) or has_dynamic_dim(ends)
    )
    # 2. attr do not has static value
    if not isinstance(adaptor.operands[1].value, np.ndarray):
        input_has_dynamic_dim = True
    if not isinstance(adaptor.operands[2].value, np.ndarray):
        input_has_dynamic_dim = True
    if axes is not None:
        if has_dynamic_dim(axes):
            input_has_dynamic_dim = True
        if not isinstance(adaptor.operands[3].value, np.ndarray):
            input_has_dynamic_dim = True
    if steps is not None:
        if has_dynamic_dim(steps):
            input_has_dynamic_dim = True
        if not isinstance(adaptor.operands[4].value, np.ndarray):
            input_has_dynamic_dim = True

    # if has no static value
    if (adaptor.operands[0].value is None) or (adaptor.operands[1].value is None):
        input_has_dynamic_dim = True
    if input_has_dynamic_dim:
        starts_size = adaptor.operands[1].type.shape[0]
        axes = get_value_or_create_const(
            np.array([i for i in range(starts_size)]) if axes is None else axes
        )
        steps = get_value_or_create_const(
            np.ones(starts_size, dtype=np.int64) if steps is None else steps
        )
        return hbir.dynamic_slice(data, starts, ends, axes, steps)

    # case1: process normal slice, use hbir.slice
    input_shape = adaptor.operands[0].type.shape
    input_rank = len(input_shape)
    starts = adaptor.operands[1].value
    ends = adaptor.operands[2].value
    steps = (
        np.ones(input_rank, dtype=np.int64)
        if steps is None
        else adaptor.operands[3].value
        if axes is None
        else adaptor.operands[4].value
    )
    axes = (
        [i for i in range(input_rank)]
        if axes is None
        else adaptor.operands[3].value
    )

    assert len(starts) == len(
        ends
    ), ""Incompatible attributes starts and ends for Slice.""

    new_start = np.zeros(input_rank, dtype=np.int64)  # start from zero
    new_end = np.array(input_shape)  # end with original shape limit
    new_step = np.ones(input_rank, dtype=np.int64)  # step default 1
    if len(starts) == len(axes):
        for idx, axis in enumerate(axes):
            new_start[axis] = starts[idx]
            new_end[axis] = ends[idx]
            new_step[axis] = steps[idx]
    elif len(starts) == 1:
        for index in range(input_rank):
            if index in axes:
                new_start[index] = starts[0]
                new_end[index] = ends[0]
                new_step[index] = steps[0]
    else:
        raise ValueError(""Incompatible attributes starts and axes for Slice."")

    # torch2onnx, axes is all -1. need transpose to hbir
    if (steps == -1).any():
        return hbir.flip(data, axes)

    return hbir.slice(
        data, begin=new_start, end=new_end, step=new_step, output_type=y
    )
//opset13
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    data: mlir.Value,
    starts: mlir.Value,
    ends: mlir.Value,
    axes: Optional[mlir.Value] = None,
    steps: Optional[mlir.Value] = None,
):
    # case0: process dynamic slice or attr do not has static value
    # 1. has dynamic tensor
    input_has_dynamic_dim = (
        has_dynamic_dim(data) or has_dynamic_dim(starts) or has_dynamic_dim(ends)
    )
    # 2. attr do not has static value
    if not isinstance(adaptor.operands[1].value, np.ndarray):
        input_has_dynamic_dim = True
    if not isinstance(adaptor.operands[2].value, np.ndarray):
        input_has_dynamic_dim = True
    if axes is not None:
        if has_dynamic_dim(axes):
            input_has_dynamic_dim = True
        if not isinstance(adaptor.operands[3].value, np.ndarray):
            input_has_dynamic_dim = True
    if steps is not None:
        if has_dynamic_dim(steps):
            input_has_dynamic_dim = True
        if not isinstance(adaptor.operands[4].value, np.ndarray):
            input_has_dynamic_dim = True

    # if has no static value
    if (adaptor.operands[0].value is None) or (adaptor.operands[1].value is None):
        input_has_dynamic_dim = True
    if input_has_dynamic_dim:
        starts_size = adaptor.operands[1].type.shape[0]
        axes = get_value_or_create_const(
            np.array([i for i in range(starts_size)]) if axes is None else axes
        )
        steps = get_value_or_create_const(
            np.ones(starts_size, dtype=np.int64) if steps is None else steps
        )
        return hbir.dynamic_slice(data, starts, ends, axes, steps)

    # case1: process normal slice, use hbir.slice
    input_shape = adaptor.operands[0].type.shape
    input_rank = len(input_shape)
    starts = adaptor.operands[1].value
    ends = adaptor.operands[2].value
    steps = (
        np.ones(input_rank, dtype=np.int64)
        if steps is None
        else adaptor.operands[3].value
        if axes is None
        else adaptor.operands[4].value
    )
    axes = (
        [i for i in range(input_rank)]
        if axes is None
        else adaptor.operands[3].value
    )

    assert len(starts) == len(
        ends
    ), ""Incompatible attributes starts and ends for Slice.""

    new_start = np.zeros(input_rank, dtype=np.int64)  # start from zero
    new_end = np.array(input_shape)  # end with original shape limit
    new_step = np.ones(input_rank, dtype=np.int64)  # step default 1
    if len(starts) == len(axes):
        for idx, axis in enumerate(axes):
            new_start[axis] = starts[idx]
            new_end[axis] = ends[idx]
            new_step[axis] = steps[idx]
    elif len(starts) == 1:
        for index in range(input_rank):
            if index in axes:
                new_start[index] = starts[0]
                new_end[index] = ends[0]
                new_step[index] = steps[0]
    else:
        raise ValueError(""Incompatible attributes starts and axes for Slice."")

    # torch2onnx, axes is all -1
    if (steps == -1).any():
        return hbir.flip(data, axes)

    return hbir.slice(
        data, begin=new_start, end=new_end, step=new_step, output_type=y
    )","hbir.dynamic_slice
hbir.slice
hbir.slice
hbir.flip
","{'hbir.dynamic_slice': 'Unsupported', 'hbir.slice': {'input': ['{Dim: all dims &lt; 2097152 }'], 'output': ['{Same as input}']}, 'hbir.flip': {'input': ['{Type: int8, int16, int32}'], 'output': ['{Same as input}']}}"
Softmax,"//opset9
def emit_mlir_op(
    self, adaptor: NodeAdaptor, y: mlir.Type, x: mlir.Value, *, axis=-1
):
    return hbir.softmax(x, axis, output_type=y)","hbir.softmax
",{'hbir.softmax': 'Unsupported'}
Softplus,"//opset9
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    x: mlir.Value,
):
    return hbir.softplus(x, 1.0, 20.0, output_type=y)","hbir.softplus
","{'hbir.softplus': {'input': ['{Type: int8, int16}\n{Shape: [*]}'], 'output': ['{Same as input}']}}"
SpaceToDepth,"//opset9
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    x: mlir.Value,
    *,
    blocksize,
):
    input_dim = len(adaptor.operands[0].type.shape)
    if input_dim != 4:
        raise ValueError(
            f""Operator SpaceToDepth does not support input_dim not euqal to 4, got {input_dim}""
        )
    n, c, h, w = adaptor.operands[0].type.shape
    if (h % blocksize != 0) or (w % blocksize != 0):
        raise ValueError(
            ""The height and width of the input shape must be divisible by blocksize.""
        )
    x = hbir.reshape(
        x, (n, c, h // blocksize, blocksize, w // blocksize, blocksize)
    )
    x = hbir.transpose(x, [0, 3, 5, 1, 2, 4])
    return hbir.reshape(
        x,
        (n, c * (blocksize * blocksize), h // blocksize, w // blocksize),
        output_type=y,
    )","hbir.reshape
hbir.transpose
hbir.reshape
","{'hbir.reshape': {'input': ['{No limits}'], 'output': ['{Same as input}']}, 'hbir.transpose': {'input': ['{No limits}'], 'output': ['{Same as input}']}}"
